review_text,rating
"with so many other folk , we",visited
"with so many other folk , we visited",this
pizza,ever
pizza ever,tasted
pizza ever tasted,in
pizza ever tasted in,my
pizza ever tasted in my,life
pizza ever tasted in my life,.
pizza ever tasted in my life .,in
pizza ever tasted in my life . in,a
disappointed,.
disappointed .,tasted
disappointed . tasted,too
disappointed . tasted too,salty
disappointed . tasted too salty,","
"disappointed . tasted too salty ,",wings
"disappointed . tasted too salty , wings",somewhat
"disappointed . tasted too salty , wings somewhat",threadbare
and,chips
and chips,were
and chips were,so
and chips were so,well
and chips were so well,done
and chips were so well done,.
and chips were so well done .,batter
and chips were so well done . batter,","
enjoyed,the
enjoyed the,at
enjoyed the at,dinner
enjoyed the at dinner,.
enjoyed the at dinner .,new
enjoyed the at dinner . new,restaurant
enjoyed the at dinner . new restaurant,in
enjoyed the at dinner . new restaurant in,the
have,had
have had,a
have had a,wonderful
have had a wonderful,evening
have had a wonderful evening,at
have had a wonderful evening at,'s
have had a wonderful evening at 's,","
"have had a wonderful evening at 's ,",we
was,a
was a,bit
was a bit,slow
was a bit slow,but
was a bit slow but,it
was a bit slow but it,was
was a bit slow but it was,a
was a bit slow but it was a,great
.,-
. -,excellent
. - excellent,.
. - excellent .,-
. - excellent . -,superb
. - excellent . - superb,.
. - excellent . - superb .,-
. - excellent . - superb . -,great
used,to
used to,work
used to work,locally
used to work locally,and
used to work locally and,have
used to work locally and have,been
used to work locally and have been,here
used to work locally and have been here,on
this,as
this as,part
this as part,of
this as part of,a
this as part of a,red
this as part of a red,letter
this as part of a red letter,day
this as part of a red letter day,experience
there,were
there were,ten
there were ten,stars
there were ten stars,","
"there were ten stars ,",they
"there were ten stars , they",would
"there were ten stars , they would",all
"there were ten stars , they would all",be
is,a
is a,gem
is a gem,of
is a gem of,a
is a gem of a,place
is a gem of a place,.
is a gem of a place .,many
is a gem of a place . many,others
restaurant,decor
restaurant decor,was
restaurant decor was,beautiful
restaurant decor was beautiful,with
restaurant decor was beautiful with,crisp
restaurant decor was beautiful with crisp,white
restaurant decor was beautiful with crisp white,table
restaurant decor was beautiful with crisp white table,cloths
good,tapas
good tapas,","
"good tapas ,",buzzing
"good tapas , buzzing",atmosphere
"good tapas , buzzing atmosphere",","
"good tapas , buzzing atmosphere ,",very
"good tapas , buzzing atmosphere , very",attentive
"good tapas , buzzing atmosphere , very attentive",staff
having,worked
having worked,in
having worked in,the
having worked in the,for
having worked in the for,a
having worked in the for a,number
having worked in the for a number,of
having worked in the for a number of,years
floors,bar
floors bar,open
floors bar open,","
"floors bar open ,",thought
"floors bar open , thought",it
"floors bar open , thought it",was
"floors bar open , thought it was",part
"floors bar open , thought it was part",of
was,a
was a,swwet
was a swwet,restaurant
was a swwet restaurant,in
was a swwet restaurant in,this
was a swwet restaurant in this,place
was a swwet restaurant in this place,we
was a swwet restaurant in this place we,had
're,already
're already,big
're already big,fans
're already big fans,of
're already big fans of,but
're already big fans of but,this
're already big fans of but this,was
're already big fans of but this was,our
snagged,coffee
snagged coffee,and
snagged coffee and,a
snagged coffee and a,cannoli
snagged coffee and a cannoli,here
snagged coffee and a cannoli here,--
snagged coffee and a cannoli here --,oh
snagged coffee and a cannoli here -- oh,","
complete,change
complete change,of
complete change of,cuisine
complete change of cuisine,but
complete change of cuisine but,with
complete change of cuisine but with,some
complete change of cuisine but with some,staff
complete change of cuisine but with some staff,from
good,place
good place,for
good place for,conversation
good place for conversation,and
good place for conversation and,ambience
good place for conversation and ambience,","
"good place for conversation and ambience ,",traditional
"good place for conversation and ambience , traditional",and
went,there
went there,following
went there following,the
went there following the,good
went there following the good,reviews
went there following the good reviews,on
went there following the good reviews on,.
went there following the good reviews on .,am
recommend,for
recommend for,having
recommend for having,a
recommend for having a,wide
recommend for having a wide,range
recommend for having a wide range,of
recommend for having a wide range of,tasty
recommend for having a wide range of tasty,vegan
free,to
free to,visit
free to visit,","
"free to visit ,",and
"free to visit , and",would
"free to visit , and would",recommend
"free to visit , and would recommend",booking
"free to visit , and would recommend booking",to
with,a
with a,friend
with a friend,of
with a friend of,mine
with a friend of mine,that
with a friend of mine that,knew
with a friend of mine that knew,the
with a friend of mine that knew the,place
you,want
you want,to
you want to,be
you want to be,served
you want to be served,immediately
you want to be served immediately,","
"you want to be served immediately ,",there
"you want to be served immediately , there",are
place,if
place if,you
place if you,like
place if you like,steak
place if you like steak,but
place if you like steak but,little
place if you like steak but little,selection
place if you like steak but little selection,of
were,celebrating
were celebrating,our
were celebrating our,wedding
were celebrating our wedding,anniversary
were celebrating our wedding anniversary,at
were celebrating our wedding anniversary at,and
were celebrating our wedding anniversary at and,they
were celebrating our wedding anniversary at and they,did
the,first
the first,time
the first time,have
the first time have,been
the first time have been,","
"the first time have been ,",we
"the first time have been , we",had
"the first time have been , we had",the
have,been
have been,eating
have been eating,in
have been eating in,this
have been eating in this,restaurant
have been eating in this restaurant,since
have been eating in this restaurant since,.
have been eating in this restaurant since .,have
were,recommended
were recommended,this
were recommended this,place
were recommended this place,by
were recommended this place by,some
were recommended this place by some,friends
were recommended this place by some friends,but
were recommended this place by some friends but,we
the,restaurant
the restaurant,while
the restaurant while,watching
the restaurant while watching,'
the restaurant while watching ',","
"the restaurant while watching ' ,",booked
"the restaurant while watching ' , booked",because
"the restaurant while watching ' , booked because",it
returned,to
returned to,after
returned to after,a
returned to after a,delightful
returned to after a delightful,first
returned to after a delightful first,visit
returned to after a delightful first visit,to
returned to after a delightful first visit to,be
to,see
to see,and
to see and,decided
to see and decided,to
to see and decided to,try
to see and decided to try,the
to see and decided to try the,which
to see and decided to try the which,is
had,good
had good,service
had good service,on
had good service on,a
had good service on a,in
had good service on a in,.
had good service on a in .,partner
had good service on a in . partner,'s
in,here
in here,on
in here on,way
in here on way,back
in here on way back,to
in here on way back to,hotel
in here on way back to hotel,before
in here on way back to hotel before,heading
surroundings,and
surroundings and,good
surroundings and good,service
surroundings and good service,but
surroundings and good service but,for
surroundings and good service but for,what
surroundings and good service but for what,we
surroundings and good service but for what we,had
with,a
with a,friend
with a friend,for
with a friend for,dinner
with a friend for dinner,early
with a friend for dinner early,evening
with a friend for dinner early evening,mid
with a friend for dinner early evening mid,week
visited,this
visited this,restaurant
visited this restaurant,on
visited this restaurant on,a
visited this restaurant on a,friday
visited this restaurant on a friday,evening
visited this restaurant on a friday evening,","
"visited this restaurant on a friday evening ,",with
short,walk
short walk,from
short walk from,","
"short walk from ,",and
"short walk from , and",hidden
"short walk from , and hidden",away
"short walk from , and hidden away",from
"short walk from , and hidden away from",the
though,the
though the,service
though the service,was
though the service was,slow
though the service was slow,","
"though the service was slow ,",it
"though the service was slow , it",was
"though the service was slow , it was",made
place,with
place with,plenty
place with plenty,good
place with plenty good,food
place with plenty good food,to
place with plenty good food to,choose
place with plenty good food to choose,from
place with plenty good food to choose from,.
've,been
've been,meaning
've been meaning,to
've been meaning to,try
've been meaning to try,hemsley
've been meaning to try hemsley,and
've been meaning to try hemsley and,hemsley
've been meaning to try hemsley and hemsley,for
you,like
you like,food
you like food,","
"you like food ,",visit
"you like food , visit",this
"you like food , visit this",place
"you like food , visit this place",.
"you like food , visit this place .",you
smoked,food
smoked food,!
smoked food !,!
smoked food ! !,had
smoked food ! ! had,the
smoked food ! ! had the,beer
smoked food ! ! had the beer,can
smoked food ! ! had the beer can,smoked
in,on
in on,my
in on my,own
in on my own,for
in on my own for,a
in on my own for a,burger
in on my own for a burger,on
in on my own for a burger on,the
wellbeing,cafe
wellbeing cafe,-
wellbeing cafe -,all
wellbeing cafe - all,dishes
wellbeing cafe - all dishes,offer
wellbeing cafe - all dishes offer,a
wellbeing cafe - all dishes offer a,pleasant
wellbeing cafe - all dishes offer a pleasant,surprise
first,sign
first sign,that
first sign that,this
first sign that this,was
first sign that this was,a
first sign that this was a,good
first sign that this was a good,choice
first sign that this was a good choice,was
time,here
time here,and
time here and,still
time here and still,love
time here and still love,it
time here and still love it,.
time here and still love it .,location
time here and still love it . location,along
visited,just
visited just,after
visited just after,the
visited just after the,kittens
visited just after the kittens,had
visited just after the kittens had,been
visited just after the kittens had been,introduced
visited just after the kittens had been introduced,to
took,my
took my,mother
took my mother,here
took my mother here,for
took my mother here for,her
took my mother here for her,birthday
took my mother here for her birthday,","
"took my mother here for her birthday ,",and
in,for
in for,a
in for a,pint
in for a pint,at
in for a pint at,the
in for a pint at the,legendary
in for a pint at the legendary,``
in for a pint at the legendary ``,'s
here,based
here based,on
here based on,its
here based on its,reputation
here based on its reputation,.
here based on its reputation .,confirm
here based on its reputation . confirm,some
here based on its reputation . confirm some,of
had,a
had a,late
had a late,reservation
had a late reservation,at
had a late reservation at,this
had a late reservation at this,popular
had a late reservation at this popular,restaurant
had a late reservation at this popular restaurant,and
popped,in
popped in,here
popped in here,for
popped in here for,lunch
popped in here for lunch,wanting
popped in here for lunch wanting,to
popped in here for lunch wanting to,try
popped in here for lunch wanting to try,something
had,the
had the,and
had the and,.
had the and .,opened
had the and . opened,it
had the and . opened it,","
"had the and . opened it ,",it
"had the and . opened it , it",looked
the,falafel
the falafel,box
the falafel box,","
"the falafel box ,",which
"the falafel box , which",was
"the falafel box , which was",hot
"the falafel box , which was hot",","
"the falafel box , which was hot ,",freshly
had,lunch
had lunch,there
had lunch there,with
had lunch there with,my
had lunch there with my,partner
had lunch there with my partner,and
had lunch there with my partner and,we
had lunch there with my partner and we,had
like,coming
like coming,here
like coming here,for
like coming here for,the
like coming here for the,historical
like coming here for the historical,aspects
like coming here for the historical aspects,.
like coming here for the historical aspects .,it
is,a
is a,piece
is a piece,of
is a piece of,old
is a piece of old,that
is a piece of old that,has
is a piece of old that has,to
is a piece of old that has to,be
friend,and
friend and,really
friend and really,enjoyed
friend and really enjoyed,the
friend and really enjoyed the,food
friend and really enjoyed the food,","
"friend and really enjoyed the food ,",drink
"friend and really enjoyed the food , drink",","
every,time
every time,we
every time we,are
every time we are,in
every time we are in,we
every time we are in we,visit
every time we are in we visit,this
every time we are in we visit this,restaurant
booked,a
booked a,table
booked a table,for
booked a table for,two
booked a table for two,online
booked a table for two online,then
booked a table for two online then,emailed
booked a table for two online then emailed,to
my,friend
my friend,and
my friend and,were
my friend and were,excited
my friend and were excited,to
my friend and were excited to,try
my friend and were excited to try,the
my friend and were excited to try the,and
to,return
to return,and
to return and,sample
to return and sample,some
to return and sample some,more
to return and sample some more,offerings
to return and sample some more offerings,.
to return and sample some more offerings .,as
.,the
. the,puns
. the puns,on
. the puns on,coffee
. the puns on coffee,names
. the puns on coffee names,at
. the puns on coffee names at,'s
. the puns on coffee names at 's,are
service,","
"service ,",food
"service , food",!
"service , food !",love
"service , food ! love",the
"service , food ! love the",plants
"service , food ! love the plants",on
"service , food ! love the plants on",the
had,a
had a,great
had a great,meal
had a great meal,with
had a great meal with,fantastic
had a great meal with fantastic,wine
had a great meal with fantastic wine,matches
had a great meal with fantastic wine matches,","
up,with
up with,family
up with family,as
up with family as,great
up with family as great,place
up with family as great place,to
up with family as great place to,eat
up with family as great place to eat,.
restaurant,was
restaurant was,quiet
restaurant was quiet,on
restaurant was quiet on,'s
restaurant was quiet on 's,.
restaurant was quiet on 's .,should
restaurant was quiet on 's . should,have
restaurant was quiet on 's . should have,been
for,a
for a,late
for a late,night
for a late night,dinner
for a late night dinner,.
for a late night dinner .,peach
for a late night dinner . peach,and
for a late night dinner . peach and,goat
had,spent
had spent,a
had spent a,busy
had spent a busy,day
had spent a busy day,seeing
had spent a busy day seeing,various
had spent a busy day seeing various,things
had spent a busy day seeing various things,and
experience,’
experience ’,ve
experience ’ ve,had
experience ’ ve had,with
experience ’ ve had with,to
experience ’ ve had with to,date
experience ’ ve had with to date,has
experience ’ ve had with to date has,been
and,my
and my,family
and my family,decided
and my family decided,to
and my family decided to,visit
and my family decided to visit,the
and my family decided to visit the,new
and my family decided to visit the new,star
ate,full
ate full,breakfast
ate full breakfast,and
ate full breakfast and,we
ate full breakfast and we,could
ate full breakfast and we could,n't
ate full breakfast and we could n't,manage
ate full breakfast and we could n't manage,to
yard,is
yard is,small
yard is small,and
yard is small and,noisy
yard is small and noisy,and
yard is small and noisy and,busy
yard is small and noisy and busy,","
"yard is small and noisy and busy ,",but
husband,found
husband found,this
husband found this,wonderful
husband found this wonderful,place
husband found this wonderful place,when
husband found this wonderful place when,googling
husband found this wonderful place when googling,romantic
husband found this wonderful place when googling romantic,restaurants
partner,and
partner and,had
partner and had,dinner
partner and had dinner,at
partner and had dinner at,on
partner and had dinner at on,a
partner and had dinner at on a,sunny
partner and had dinner at on a sunny,evening
restaurant,could
restaurant could,easily
restaurant could easily,be
restaurant could easily be,missed
restaurant could easily be missed,on
restaurant could easily be missed on,the
restaurant could easily be missed on the,corner
restaurant could easily be missed on the corner,of
stopped,by
stopped by,here
stopped by here,for
stopped by here for,breakfast
stopped by here for breakfast,and
stopped by here for breakfast and,ordered
stopped by here for breakfast and ordered,one
stopped by here for breakfast and ordered one,of
had,a
had a,great
had a great,sing
had a great sing,song
had a great sing song,around
had a great sing song around,the
had a great sing song around the,at
had a great sing song around the at,&
arrived,at
arrived at,at
arrived at at,","
"arrived at at ,",late
"arrived at at , late",","
"arrived at at , late ,",worried
"arrived at at , late , worried",about
"arrived at at , late , worried about",not
's,truly
's truly,a
's truly a,treat
's truly a treat,eating
's truly a treat eating,at
's truly a treat eating at,de
's truly a treat eating at de,","
"'s truly a treat eating at de ,",we
atmosphere,","
"atmosphere ,",lovely
"atmosphere , lovely",service
"atmosphere , lovely service",","
"atmosphere , lovely service ,",food
"atmosphere , lovely service , food",quality
"atmosphere , lovely service , food quality",excellent
"atmosphere , lovely service , food quality excellent",.
in,for
in for,days
in for days,for
in for days for,bussiness
in for days for bussiness,and
in for days for bussiness and,i
in for days for bussiness and i,it
in for days for bussiness and i it,across
just,love
just love,this
just love this,place
just love this place,and
just love this place and,hope
just love this place and hope,they
just love this place and hope they,open
just love this place and hope they open,in
were,greater
were greater,by
were greater by,an
were greater by an,amazing
were greater by an amazing,doorman
were greater by an amazing doorman,that
were greater by an amazing doorman that,was
were greater by an amazing doorman that was,polite
to,for
to for,the
to for the,first
to for the first,time
to for the first time,-
to for the first time -,we
to for the first time - we,knew
to for the first time - we knew,we
came,out
came out,very
came out very,quickly
came out very quickly,","
"came out very quickly ,",but
"came out very quickly , but",so
"came out very quickly , but so",did
"came out very quickly , but so did",the
for,;
for ;,visit
for ; visit,in
for ; visit in,the
for ; visit in the,for
for ; visit in the for,high
for ; visit in the for high,days
for ; visit in the for high days,and
hate,to
hate to,be
hate to be,writing
hate to be writing,something
hate to be writing something,negative
hate to be writing something negative,about
hate to be writing something negative about,a
hate to be writing something negative about a,restaurant
went,there
went there,to
went there to,have
went there to have,some
went there to have some,proper
went there to have some proper,food
went there to have some proper food,that
went there to have some proper food that,``
set,up
set up,in
set up in,the
set up in the,beer
set up in the beer,garden
set up in the beer garden,is
set up in the beer garden is,a
set up in the beer garden is a,great
at,'s
at 's,is
at 's is,a
at 's is a,very
at 's is a very,pleasant
at 's is a very pleasant,experience
at 's is a very pleasant experience,.
at 's is a very pleasant experience .,layout
for,lunch
for lunch,with
for lunch with,friends
for lunch with friends,","
"for lunch with friends ,",first
"for lunch with friends , first",class
"for lunch with friends , first class",service
"for lunch with friends , first class service",from
is,a
is a,local
is a local,pub
is a local pub,just
is a local pub just,off
is a local pub just off,the
is a local pub just off the,main
is a local pub just off the main,area
for,lunch
for lunch,with
for lunch with,my
for lunch with my,girlfriend
for lunch with my girlfriend,","
"for lunch with my girlfriend ,",taking
"for lunch with my girlfriend , taking",advantage
"for lunch with my girlfriend , taking advantage",of
is,a
is a,lovely
is a lovely,.
is a lovely .,staff
is a lovely . staff,are
is a lovely . staff are,always
is a lovely . staff are always,so
is a lovely . staff are always so,polite
went,here
went here,for
went here for,lunch
went here for lunch,with
went here for lunch with,my
went here for lunch with my,boss
went here for lunch with my boss,.
went here for lunch with my boss .,some
went,for
went for,the
went for the,menu
went for the menu,.
went for the menu .,great
went for the menu . great,service
went for the menu . great service,despite
went for the menu . great service despite,the
family,of
family of,visited
family of visited,pre
family of visited pre,theatre
family of visited pre theatre,to
family of visited pre theatre to,celebrate
family of visited pre theatre to celebrate,our
family of visited pre theatre to celebrate our,sons
the,and
the and,the
the and the,factory
the and the factory,themed
the and the factory themed,afternoon
the and the factory themed afternoon,tea
the and the factory themed afternoon tea,for
the and the factory themed afternoon tea for,teenage
found,myself
found myself,craving
found myself craving,for
found myself craving for,(
found myself craving for (,a
found myself craving for ( a,classic
found myself craving for ( a classic,veal
found myself craving for ( a classic veal,dish
here,again
here again,","
"here again ,",after
"here again , after",weeks
"here again , after weeks",","
"here again , after weeks ,",with
"here again , after weeks , with",my
"here again , after weeks , with my",friends
dined,here
dined here,with
dined here with,friends
dined here with friends,on
dined here with friends on,a
dined here with friends on a,trip
dined here with friends on a trip,to
dined here with friends on a trip to,.
the,hotel
the hotel,","
"the hotel ,",yes
"the hotel , yes",on
"the hotel , yes on",.
"the hotel , yes on .",restaurant
"the hotel , yes on . restaurant",is
"the hotel , yes on . restaurant is",on
we,decided
we decided,to
we decided to,dine
we decided to dine,at
we decided to dine at,(
we decided to dine at (,a
we decided to dine at ( a,restaurant
we decided to dine at ( a restaurant,)
you,are
you are,looking
you are looking,for
you are looking for,a
you are looking for a,restaurant
you are looking for a restaurant,which
you are looking for a restaurant which,has
you are looking for a restaurant which has,more
been,using
been using,the
been using the,for
been using the for,several
been using the for several,years
been using the for several years,.
been using the for several years .,feels
been using the for several years . feels,like
",",what
", what",a
", what a",let
", what a let",down
", what a let down",this
", what a let down this",was
", what a let down this was",.
", what a let down this was .",went
like,the
like the,mint
like the mint,customer
like the mint customer,food
like the mint customer food,.
like the mint customer food .,over
like the mint customer food . over,to
like the mint customer food . over to,mint
visiting,the
visiting the,and
visiting the and,we
visiting the and we,were
visiting the and we were,hungry
visiting the and we were hungry,af
visiting the and we were hungry af,","
"visiting the and we were hungry af ,",'
is,a
is a,great
is a great,restaurant
is a great restaurant,if
is a great restaurant if,you
is a great restaurant if you,are
is a great restaurant if you are,meeting
is a great restaurant if you are meeting,friends
first,time
first time,in
first time in,years
first time in years,since
first time in years since,being
first time in years since being,gluten
first time in years since being gluten,and
first time in years since being gluten and,lactose
food,at
food at,a
food at a,reasonable
food at a reasonable,price
food at a reasonable price,for
food at a reasonable price for,central
food at a reasonable price for central,.
food at a reasonable price for central .,service
of,the
of the,best
of the best,restaurants
of the best restaurants,where
of the best restaurants where,lately
of the best restaurants where lately,have
of the best restaurants where lately have,been
of the best restaurants where lately have been,(
ca,n't
ca n't,say
ca n't say,enough
ca n't say enough,positive
ca n't say enough positive,about
ca n't say enough positive about,this
ca n't say enough positive about this,restaurant
ca n't say enough positive about this restaurant,.
a,superb
a superb,find
a superb find,.
a superb find .,a
a superb find . a,great
a superb find . a great,review
a superb find . a great review,and
a superb find . a great review and,thought
for,food
for food,and
for food and,price
for food and price,","
"for food and price ,",and
"for food and price , and",relatively
"for food and price , and relatively",quite
"for food and price , and relatively quite",.
have,stayed
have stayed,some
have stayed some,years
have stayed some years,ago
have stayed some years ago,at
have stayed some years ago at,the
have stayed some years ago at the,","
"have stayed some years ago at the ,",and
find,few
find few,know
find few know,of
find few know of,this
find few know of this,excellent
find few know of this excellent,restaurant
find few know of this excellent restaurant,","
"find few know of this excellent restaurant ,",been
bite,to
bite to,eat
bite to eat,after
bite to eat after,seeing
bite to eat after seeing,``
bite to eat after seeing ``,play
bite to eat after seeing `` play,that
bite to eat after seeing `` play that,goes
was,good
was good,","
"was good ,",staff
"was good , staff",were
"was good , staff were",polite
"was good , staff were polite",and
"was good , staff were polite and",efficient
"was good , staff were polite and efficient",.
recommended,","
"recommended ,",and
"recommended , and",will
"recommended , and will",go
"recommended , and will go",again
"recommended , and will go again",.
"recommended , and will go again .",lovely
"recommended , and will go again . lovely",food
here,for
here for,a
here for a,second
here for a second,time
here for a second time,after
here for a second time after,first
here for a second time after first,going
here for a second time after first going,here
food,","
"food ,",lovely
"food , lovely",place
"food , lovely place",","
"food , lovely place ,",great
"food , lovely place , great",service
"food , lovely place , great service",","
"food , lovely place , great service ,",fair
wanted,a
wanted a,quick
wanted a quick,supper
wanted a quick supper,and
wanted a quick supper and,this
wanted a quick supper and this,was
wanted a quick supper and this was,perfect
wanted a quick supper and this was perfect,.
'm,a
'm a,big
'm a big,fan
'm a big fan,of
'm a big fan of,good
'm a big fan of good,burgers
'm a big fan of good burgers,.
'm a big fan of good burgers .,also
in,for
in for,a
in for a,late
in for a late,lunch
in for a late lunch,around
in for a late lunch around,not
in for a late lunch around not,really
in for a late lunch around not really,needing
tesco,clubcard
tesco clubcard,vouchers
tesco clubcard vouchers,to
tesco clubcard vouchers to,pay
tesco clubcard vouchers to pay,for
tesco clubcard vouchers to pay for,our
tesco clubcard vouchers to pay for our,meal
tesco clubcard vouchers to pay for our meal,","
for,an
for an,early
for an early,supper
for an early supper,.
for an early supper .,were
for an early supper . were,greeted
for an early supper . were greeted,immediately
for an early supper . were greeted immediately,and
(,and
( and,a
( and a,couple
( and a couple,mates
( and a couple mates,)
( and a couple mates ),come
( and a couple mates ) come,here
( and a couple mates ) come here,at
have,been
have been,to
have been to,this
have been to this,restaurant
have been to this restaurant,twice
have been to this restaurant twice,this
have been to this restaurant twice this,week
have been to this restaurant twice this week,and
had,some
had some,great
had some great,reviews
had some great reviews,and
had some great reviews and,'ve
had some great reviews and 've,seen
had some great reviews and 've seen,it
had some great reviews and 've seen it,listed
had,a
had a,terrible
had a terrible,experience
had a terrible experience,here
had a terrible experience here,.
had a terrible experience here .,arrived
had a terrible experience here . arrived,ahead
had a terrible experience here . arrived ahead,of
late,after
late after,going
late after going,to
late after going to,the
late after going to the,theatre
late after going to the theatre,","
"late after going to the theatre ,",had
"late after going to the theatre , had",a
here,mornings
here mornings,in
here mornings in,a
here mornings in a,row
here mornings in a row,as
here mornings in a row as,we
here mornings in a row as we,were
here mornings in a row as we were,staying
ate,here
ate here,whilst
ate here whilst,on
ate here whilst on,a
ate here whilst on a,theatre
ate here whilst on a theatre,break
ate here whilst on a theatre break,with
ate here whilst on a theatre break with,my
came,here
came here,with
came here with,my
came here with my,boyfriend
came here with my boyfriend,for
came here with my boyfriend for,a
came here with my boyfriend for a,late
came here with my boyfriend for a late,lunch
booked,a
booked a,table
booked a table,for
booked a table for,on
booked a table for on,night
booked a table for on night,","
"booked a table for on night ,",since
"booked a table for on night , since",we
had,moussaka
had moussaka,which
had moussaka which,is
had moussaka which is,a
had moussaka which is a,baked
had moussaka which is a baked,aubergine
had moussaka which is a baked aubergine,dish
had moussaka which is a baked aubergine dish,with
had,n't
had n't,booked
had n't booked,a
had n't booked a,table
had n't booked a table,but
had n't booked a table but,our
had n't booked a table but our,party
had n't booked a table but our party,of
end,of
end of,a
end of a,long
end of a long,shopping
end of a long shopping,day
end of a long shopping day,.
end of a long shopping day .,every
end of a long shopping day . every,important
visited,this
visited this,restaurant
visited this restaurant,last
visited this restaurant last,weekend
visited this restaurant last weekend,.
visited this restaurant last weekend .,location
visited this restaurant last weekend . location,is
visited this restaurant last weekend . location is,really
booked,the
booked the,table
booked the table,for
booked the table for,luckily
booked the table for luckily,for
booked the table for luckily for,us
booked the table for luckily for us,","
"booked the table for luckily for us ,",because
this,place
this place,","
"this place ,",pasta
"this place , pasta",is
"this place , pasta is",awesome
"this place , pasta is awesome",and
"this place , pasta is awesome and",sooooo
"this place , pasta is awesome and sooooo",filling
are,so
are so,many
are so many,restaurants
are so many restaurants,around
are so many restaurants around,to
are so many restaurants around to,choose
are so many restaurants around to choose,from
are so many restaurants around to choose from,","
we,were
we were,going
we were going,to
we were going to,the
we were going to the,across
we were going to the across,the
we were going to the across the,road
we were going to the across the road,and
supper,here
supper here,last
supper here last,night
supper here last night,with
supper here last night with,my
supper here last night with my,family
supper here last night with my family,.
supper here last night with my family .,was
&,my
& my,mother
& my mother,ate
& my mother ate,at
& my mother ate at,this
& my mother ate at this,restaurant
& my mother ate at this restaurant,on
& my mother ate at this restaurant on,before
here,for
here for,lunch
here for lunch,today
here for lunch today,.
here for lunch today .,to
here for lunch today . to,wait
here for lunch today . to wait,a
here for lunch today . to wait a,few
value,and
value and,excellent
value and excellent,service
value and excellent service,from
value and excellent service from,.
value and excellent service from .,and
value and excellent service from . and,friendly
value and excellent service from . and friendly,.
and,cheerful
and cheerful,option
and cheerful option,for
and cheerful option for,a
and cheerful option for a,quick
and cheerful option for a quick,food
and cheerful option for a quick food,was
and cheerful option for a quick food was,a
in,here
in here,on
in here on,the
in here on the,off
in here on the off,chance
in here on the off chance,","
"in here on the off chance ,",and
"in here on the off chance , and",'m
came,here
came here,before
came here before,the
came here before the,theatre
came here before the theatre,one
came here before the theatre one,evening
came here before the theatre one evening,.
came here before the theatre one evening .,selected
pizzas,.
pizzas .,sparse
pizzas . sparse,on
pizzas . sparse on,the
pizzas . sparse on the,ingredients
pizzas . sparse on the ingredients,.
pizzas . sparse on the ingredients .,so
pizzas . sparse on the ingredients . so,common
everything,was
everything was,closed
everything was closed,or
everything was closed or,closing
everything was closed or closing,after
everything was closed or closing after,the
everything was closed or closing after the,theater
everything was closed or closing after the theater,except
sister,and
sister and,visited
sister and visited,this
sister and visited this,restaurant
sister and visited this restaurant,last
sister and visited this restaurant last,during
sister and visited this restaurant last during,our
sister and visited this restaurant last during our,short
was,our
was our,first
was our first,try
was our first try,at
was our first try at,a
was our first try at a,bella
was our first try at a bella,italia
was our first try at a bella italia,will
had,a
had a,booking
had a booking,for
had a booking for,as
had a booking for as,part
had a booking for as part,of
had a booking for as part of,a
had a booking for as part of a,school
atmosphere,and
atmosphere and,service
atmosphere and service,were
atmosphere and service were,ok
atmosphere and service were ok,but
atmosphere and service were ok but,our
atmosphere and service were ok but our,starter
atmosphere and service were ok but our starter,of
ordered,hot
ordered hot,dogs
ordered hot dogs,.
ordered hot dogs .,paying
ordered hot dogs . paying,","
"ordered hot dogs . paying ,",the
"ordered hot dogs . paying , the",girl
"ordered hot dogs . paying , the girl",at
food,was
food was,cold
food was cold,so
food was cold so,had
food was cold so had,to
food was cold so had to,send
food was cold so had to send,back
food was cold so had to send back,and
earlier,today
earlier today,for
earlier today for,a
earlier today for a,show
earlier today for a show,and
earlier today for a show and,meal
earlier today for a show and meal,afterwards
earlier today for a show and meal afterwards,.
of,us
of us,went
of us went,there
of us went there,and
of us went there and,were
of us went there and were,given
of us went there and were given,a
of us went there and were given a,warm
ate,here
ate here,on
ate here on,a
ate here on a,family
ate here on a family,weekend
ate here on a family weekend,break
ate here on a family weekend break,to
ate here on a family weekend break to,after
bit,hard
bit hard,to
bit hard to,notice
bit hard to notice,from
bit hard to notice from,outside
bit hard to notice from outside,","
"bit hard to notice from outside ,",but
"bit hard to notice from outside , but",once
to,pass
to pass,by
to pass by,this
to pass by this,restaurant
to pass by this restaurant,while
to pass by this restaurant while,in
to pass by this restaurant while in,was
to pass by this restaurant while in was,a
in,the
in the,evening
in the evening,","
"in the evening ,",for
"in the evening , for",an
"in the evening , for an",after
"in the evening , for an after",theatre
"in the evening , for an after theatre",meal
went,for
went for,a
went for a,family
went for a family,meal
went for a family meal,.
went for a family meal .,when
went for a family meal . when,we
went for a family meal . when we,came
daughter,and
daughter and,visited
daughter and visited,this
daughter and visited this,restaurant
daughter and visited this restaurant,last
daughter and visited this restaurant last,night
daughter and visited this restaurant last night,after
daughter and visited this restaurant last night after,going
popular,place
popular place,on
popular place on,a
popular place on a,evening
popular place on a evening,.
popular place on a evening .,diners
popular place on a evening . diners,sat
popular place on a evening . diners sat,outside
here,as
here as,part
here as part,of
here as part of,a
here as part of a,deal
here as part of a deal,with
here as part of a deal with,.
here as part of a deal with .,booking
